id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
1487,Hellboy,6.665,6392,Released,2004-04-02,99318987,122,False,/qdTUAwQKQ9n7PfZeVJzs7sOP8S8.jpg,66000000,,tt0167190,en,Hellboy,"In the final days of World War II, the Nazis attempt to use black magic to aid their dying cause. The Allies raid the camp where the ceremony is taking place, but not before they summon a baby demon who is rescued by Allied forces and dubbed ""Hellboy"". Sixty years later, Hellboy serves the cause of good rather than evil as an agent in the Bureau of Paranormal Research & Defense, along with Abe Sapien - a merman with psychic powers, and Liz Sherman - a woman with pyrokinesis, protecting America against dark forces.",23.193,/hjblR6bPZR0PvFwztHcEBCjYf7d.jpg,From the dark side to our side.,"Fantasy, Action","Columbia Pictures, Revolution Studios, Dark Horse Entertainment, Lawrence Gordon Productions, Starlite Films, Partnership Films","Czech Republic, United States of America","Russian, English","nazi, sacrifice, paranormal phenomena, black magic, adoptive father, based on comic, steampunk, narration from grave, apocalypse, demon, supernatural creature, monolith, occult, super strength, father figure, reanimated corpse, duringcreditsstinger, other dimension, psychic powers, pyrokinesis"
98566,Teenage Mutant Ninja Turtles,5.901,6391,Released,2014-08-07,485004754,101,False,/eezsbzYPbYKjjh6E1XHDBNlLynh.jpg,125000000,http://www.teenagemutantninjaturtlesmovie.com,tt1291150,en,Teenage Mutant Ninja Turtles,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",76.327,/azL2ThbJMIkts3ZMt3j1YgBUeDB.jpg,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,"Science Fiction, Action, Adventure, Comedy","Nickelodeon Movies, Paramount, Platinum Dunes, Mirage Studios",United States of America,English,"new york city, van, martial arts, hero, experiment, mutation, superhero, turtle, based on comic, ninja, vigilante, terrorism, sewer, reboot, teenage mutant ninja turtles"
10527,Madagascar: Escape 2 Africa,6.488,6371,Released,2008-10-30,603900354,89,False,/r2M9ElkHxEJP7riCFbT5N0uXZTc.jpg,150000000,http://www.madagascar-themovie.com,tt0479952,en,Madagascar: Escape 2 Africa,"Alex, Marty, and other zoo animals find a way to escape from Madagascar when the penguins reassemble a wrecked airplane. The precariously repaired craft stays airborne just long enough to make it to the African continent. There the New Yorkers encounter members of their own species for the first time. Africa proves to be a wild place, but Alex and company wonder if it is better than their Central Park home.",61.944,/agRbLOHgN46TQO4YdKR462iR7To.jpg,Still together. Still lost!,"Family, Adventure, Animation, Comedy","DreamWorks Animation, Pacific Data Images, Paramount",United States of America,"English, Italian","dance, friendship, jealousy, airplane, africa, hunger, lion, zoo, hippopotamus, giraffe, chimp, penguin, cartoon, volcano, zebra, sequel, slapstick comedy, madagascar, friends, shark, animal, duringcreditsstinger, lemur, talking animal"
49444,Kung Fu Panda 2,6.968,6365,Released,2011-05-25,665692281,91,False,/7BdxZXbSkUiVeCRXKD3hi9KYeWm.jpg,150000000,http://www.kungfupanda.com/,tt1302011,en,Kung Fu Panda 2,"Po is now living his dream as The Dragon Warrior, protecting the Valley of Peace alongside his friends and fellow kung fu masters, The Furious Five - Tigress, Crane, Mantis, Viper and Monkey. But Po’s new life of awesomeness is threatened by the emergence of a formidable villain, who plans to use a secret, unstoppable weapon to conquer China and destroy kung fu. It is up to Po and The Furious Five to journey across China to face this threat and vanquish it. But how can Po stop a weapon that can stop kung fu? He must look to his past and uncover the secrets of his mysterious origins; only then will he be able to unlock the strength he needs to succeed.",52.793,/mtqqD00vB4PGRt20gWtGqFhrkd0.jpg,Prepare for the Year of Awesomeness!,"Animation, Family","DreamWorks Animation, Paramount",United States of America,English,"mission, martial arts, kung fu, hope, fleet, panda, friends, woman director"
11321,Seven Pounds,7.613,6362,Released,2008-12-18,168167691,123,False,/rlF1oWTeOGA6RB2g7VsE8PkV7te.jpg,55000000,http://www.sonypictures.com/movies/sevenpounds/,tt0814314,en,Seven Pounds,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,32.144,/pCVpsCEYtvtlg1I9h3rtglKgThu.jpg,Seven names. Seven strangers. One secret.,Drama,"Escape Artists, Columbia Pictures, Relativity Media, Overbrook Entertainment",United States of America,"English, Spanish","sadness, vegetarian, tax collector, blind, pianist, organ transplant, blood type, sad story"
76757,Jupiter Ascending,5.433,6353,Released,2015-02-04,183987723,127,False,/dSPuaE2VEvTWP6LoADTL4rKNVkA.jpg,176000003,http://www.jupiterascending.com,tt1617661,en,Jupiter Ascending,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",53.857,/xzQ25m9vrdyvpLX74T3B3KB40Ou.jpg,Expand your universe.,"Science Fiction, Fantasy, Action","Anarchos Productions, Village Roadshow Pictures, Dune Entertainment, Warner Bros. Pictures",United States of America,"English, Russian","jupiter, space, space opera, woman director, interspecies romance"
13448,Angels & Demons,6.697,6351,Released,2009-05-13,485930816,138,False,/cj0VkGBTywa7WTIPPW9xgqmUVWl.jpg,150000000,http://www.angelsanddemons.com/,tt0808151,en,Angels & Demons,"Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati - a secret, underground organization - after four cardinals are kidnapped on the night of the papal conclave.",31.307,/hrvNVd0GDeytbDhduWa3SFKmg4A.jpg,The holiest event of our time. Perfect for their return.,"Thriller, Mystery","Columbia Pictures, Imagine Entertainment, Skylark Productions, Panorama Films","Italy, United States of America","English, Italian, Latin, French, German, Mandarin","based on novel or book, rome, italy, vatican, symbolism, illuminati, quantum mechanics, prequel, anti matter, conspiracy, investigator, catholicism, cern"
4247,Scary Movie,6.336,6346,Released,2000-07-07,278019771,88,False,/m5dA4JZsj78EBTa2D6imWOAebwB.jpg,19000000,,tt0175142,en,Scary Movie,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!",64.01,/lRQiJXETkCnVVurHmglNvMXrZOx.jpg,No mercy. No shame. No sequel.,Comedy,"Brad Grey Pictures, Gold/Miller Productions, Wayans Bros. Entertainment, Dimension Films",United States of America,English,"high school, psychopath, garage, satire, parody, crude humor, spoof, horror spoof, drugs, aftercreditsstinger, horror parody"
68735,Warcraft,6.364,6340,Released,2016-05-25,433677183,123,False,/aTGvZ3F8QnAD8cPpJRaaqRRxFK6.jpg,160000000,http://www.warcraft-themovie.com/,tt0803096,en,Warcraft,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",37.312,/nZIIOs06YigBnvmlJ2hxZeA8eTO.jpg,Two worlds. One home.,"Action, Adventure, Fantasy","Legendary Pictures, Universal Pictures, Atlas Entertainment, Blizzard Entertainment, Tencent Pictures, Fuji Television Network, dentsu, Huayi Brothers Pictures, Taihe Entertainment","China, Japan, Canada, United States of America",English,"video game, chase, orcs, elves, magic, based on comic, world of warcraft, sorcerer, fictional war, based on video game, wizard, fictional language, live action and animation, muscles, sword and sorcery"
10201,Yes Man,6.66,6336,Released,2008-12-09,223241637,104,False,/kueBMnoZVmagMfP6ortvkOVuWtI.jpg,70000000,http://www.yesisthenewno.com/,tt1068680,en,Yes Man,Carl Allen has stumbled across a way to shake free of post-divorce blues and a dead-end job: embrace life and say yes to everything.,26.26,/16zVbgFLTUaUTG1wQHuGjfWNuDM.jpg,One Word Can Change Everything.,"Comedy, Romance","The Zanuck Company, Village Roadshow Pictures, Heyday Films, Warner Bros. Pictures",United States of America,"Estonian, English, Korean","bungee-jump, scooter"
9543,Prince of Persia: The Sands of Time,6.261,6334,Released,2010-05-19,336365676,116,False,/dnOrJdHW697UvKvtX4lYVasomBu.jpg,200000000,https://movies.disney.com/prince-of-persia-the-sands-of-time,tt0473075,en,Prince of Persia: The Sands of Time,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",35.279,/lkp1GFmWyf7k2WKvKIQuuGyichI.jpg,Defy the Future,"Adventure, Fantasy, Action","Walt Disney Pictures, Jerry Bruckheimer Films",United States of America,English,"persia, sandstorm, brother against brother, armageddon, based on video game"
60304,Hansel & Gretel: Witch Hunters,6.029,6324,Released,2013-01-17,226349749,88,False,/mJSe5dxKu8Sq0GfdjdWVqdGvzfV.jpg,50000000,,tt1428538,en,Hansel & Gretel: Witch Hunters,"After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.",61.884,/j343Rpj3WeNvP0SV80zveve70io.jpg,Classic tale. New twist.,"Fantasy, Horror, Action","Paramount, MTV Films, Gary Sanchez Productions, Studio Babelsberg, Metro-Goldwyn-Mayer, Deutscher Filmförderfonds","United States of America, Germany",English,"witch, gun, black magic, troll, steampunk, witchcraft, evil, witch hunt, evil witch, duringcreditsstinger, nude swimming"
447404,Pokémon Detective Pikachu,6.953,6314,Released,2019-05-03,449762638,105,False,/nDP33LmQwNsnPv29GQazz59HjJI.jpg,150000000,http://www.detectivepikachumovie.net/,tt5884052,en,Pokémon Detective Pikachu,"In a world where people collect pocket-size monsters (Pokémon) to do battle, a boy comes across an intelligent monster who seeks to be a detective.",33.679,/wgQ7APnFpf1TuviKHXeEe3KnsTV.jpg,Partner Up!,"Action, Adventure, Fantasy","Legendary Pictures, The Pokémon Company, TOHO","Japan, United States of America",English,"amnesia, detective, car crash, pocket monsters, whodunit, based on video game, missing person, missing parent, buddy comedy, neo-noir, live action and animation, pikachu character"
619264,The Platform,6.986,6308,Released,2019-11-08,1090116,95,False,/3tkDMNfM2YuIAJlvGO6rfIzAnfG.jpg,1203235,http://www.elhoyolapelicula.com/index.php/en,tt8228288,es,El hoyo,"A mysterious place, an indescribable prison, a deep hole. An unknown number of levels. Two inmates living on each level. A descending platform containing food for all of them. An inhuman fight for survival, but also an opportunity for solidarity.",29.398,/8ZX18L5m6rH5viSYpRnTSbb9eXh.jpg,,"Drama, Science Fiction, Thriller","Basque Films, Mr. Miyagi, EiTB, TVE",Spain,Spanish,"dystopia, survival, struggle for survival, secret prison, food shortage, social experiment"
49018,Insidious,6.947,6298,Released,2011-03-31,99870886,103,False,/bylGn5OC2h3BWfGLYFtIcxlYxLy.jpg,1500000,http://www.insidious-movie.com/,tt1591095,en,Insidious,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.",40.882,/tmlDFIUpGRKiuWm9Ixc6CYDk4y0.jpg,It's not the House that's Haunted.,"Horror, Thriller","FilmDistrict, Stage 6 Films, Alliance Films, IM Global, Haunted Movies, Blumhouse Productions, Solana Films","Canada, United States of America",English,"medium, evil spirit, house warming, aftercreditsstinger, insidious, supernatural power"
616,The Last Samurai,7.574,6297,Released,2003-12-05,456758981,154,False,/mxlXUzriCrR51C1o4gSJalU1NNk.jpg,140000000,https://www.warnerbros.com/last-samurai,tt0325710,en,The Last Samurai,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",37.549,/lsasOSgYI85EHygtT5SvcxtZVYT.jpg,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.","Drama, Action, War","Warner Bros. Pictures, Bedford Falls Productions, Radar Pictures, Cruise/Wagner Productions","Japan, United States of America, New Zealand","English, Japanese","japan, samurai, swordplay, general, sense of guilt, war veteran, sword, war crimes, loss of loved one, self-discovery, arms deal, homeland, katana, emperor, language barrier, mountain village, foreign legion, insurgence, mercenary, campaign, leader, war strategy, gettysburg, slaughter, soldier, period drama, alcoholic, u.s. soldier, japanese army, warrior, 19th century, war trauma"
38055,Megamind,6.963,6290,Released,2010-10-28,321885765,96,False,/irpJXGiVr539uuspcQcNdkhS2lq.jpg,130000000,http://www.megamind.com,tt1001526,en,Megamind,"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",41.692,/uZ9ytt3sPTx62XTfN56ILSuYWRe.jpg,His brain is off the chain.,"Animation, Action, Comedy, Family, Science Fiction","DreamWorks Animation, Paramount, Pacific Data Images",United States of America,English,"prison, fish, saving the world, date, gun, secret identity, superhero, anti hero, dna, mayor, museum, rain, one-sided love, anthropomorphism, reporter, duringcreditsstinger, alien baby, stronger villain, invincible"
76163,The Expendables 2,6.323,6289,Released,2012-08-08,314975955,103,False,/41QdmNKbwmVD7R6A7hMqMe9FYMy.jpg,100000000,,tt1764651,en,The Expendables 2,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",59.833,/4EBO8aIeP2bF1jGpwbuRS4CFMca.jpg,Back for War.,"Action, Adventure, Thriller","Nu Image, Millennium Media, Lionsgate, Thunder Road, Nu Boyana Film Studios","Bulgaria, United States of America",English,"airplane, loss of loved one, airplane crash, beard, wisecrack humor, airport lounge, asian woman"
39514,RED,6.685,6282,Released,2010-10-13,199000000,111,False,/5tqBeCUaNHptScH3rBixjE5z2NV.jpg,58000000,,tt1245526,en,RED,"After surviving an assault from a squad of hit men, retired CIA black ops agent Frank Moses reassembles his old team for an all-out war. Frank reunites with old Joe, crazy Marvin and wily Victoria to uncover a massive conspiracy that threatens their lives. Only their expert training will allow them to survive a near-impossible mission -- breaking into CIA headquarters.",25.561,/8eeK3OB5PeSRQD7BpZcGZKkehG.jpg,Still armed. Still dangerous. Still got it.,"Action, Adventure, Comedy, Crime, Thriller","di Bonaventura Pictures, DC Comics, Summit Entertainment","Canada, United States of America","English, Russian","assassin, cia, undercover agent, kidnapping, assault rifle, retirement, based on comic, shootout, sniper rifle, explosion, retired, female spy, government agent, undercover operation, black ops, first date"
337401,Mulan,6.906,6280,Released,2020-09-04,66800000,115,False,/zMrk2G3XsnfYKiIp1NEfdtvDyBH.jpg,200000000,https://movies.disney.com/mulan-2020,tt4566758,en,Mulan,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",43.222,/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg,Loyal. Brave. True.,"Adventure, Fantasy, Drama, Action","Walt Disney Pictures, China Film Group Corporation, Good Fear, Jason T. Reed Productions","China, United States of America",English,"martial arts, hero, china, fake identity, honor, east asian lead, heroine, based on myths, legends or folklore, live action and animation, chinese girl, live action remake"
527774,Raya and the Last Dragon,7.9,6271,Released,2021-03-03,130423032,107,False,/rcUcYzGGicDvhDs58uM44tJKB9F.jpg,100000000,https://movies.disney.com/raya-and-the-last-dragon,tt5109280,en,Raya and the Last Dragon,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",53.503,/lPsD10PP4rgUGiGR4CCXA6iY0QQ.jpg,A quest to save her world.,"Animation, Family, Fantasy, Action, Adventure","Walt Disney Pictures, Walt Disney Animation Studios",United States of America,English,"kung fu, sword, warrior woman, female protagonist, dragon, vietnamese, south asian, warrior"
381283,mother!,7.0,6267,Released,2017-09-13,44516999,121,False,/z5q5X3QUBW4W2SaprgPsWCnI6GJ.jpg,30000000,,tt5109784,en,mother!,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",24.705,/2yOKarmL8B4oXaLXUdHu882SUbu.jpg,Seeing is believing,"Drama, Thriller, Horror","Protozoa Pictures, Paramount",United States of America,English,"husband wife relationship, nightmare, nihilism, chaos, pregnancy, bible, house, vandalism, cult, surrealism, writer, nature, death, madness, stranger, chaotic, forbidden fruit, mother nature, uninvited guest"
11224,Cinderella,7.037,6239,Released,1950-02-22,263591415,74,False,/puJKgNcWaGgMk5VHanSSomUTpmw.jpg,2900000,http://movies.disney.com/cinderella-1950,tt0042332,en,Cinderella,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",85.42,/avz6S9HYWs4O8Oe4PenBFNX4uDi.jpg,The greatest love story ever told.,"Family, Fantasy, Animation, Romance",Walt Disney Productions,United States of America,English,"princess, based on novel or book, loss of loved one, mouse, ball, fairy, prince, musical, midnight, love, orphan, family, evil stepmother, stepsister, fairy godmother, cendrillon"
37135,Tarzan,7.402,6238,Released,1999-06-18,448191819,88,False,/86z1Yrwj7yN1xehSa0gIwHnR7xl.jpg,130000000,,tt0120855,en,Tarzan,"Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to...",72.359,/bTvHlcqiOjGa3lFtbrTLTM3zasY.jpg,An immortal legend. As you've only imagined.,"Family, Adventure, Animation, Drama","Walt Disney Pictures, Edgar Rice Burroughs Inc., Walt Disney Feature Animation",United States of America,English,"baby, africa, gorilla, adoption, feral child, tarzan, nest, anthropomorphism, jungle, camp, orphan"
28178,Hachi: A Dog's Tale,8.006,6235,Released,2009-06-08,46749646,93,False,/x8JRhQnQpanaSjQK3UaHDUKE29m.jpg,16000000,,tt1028532,en,Hachi: A Dog's Tale,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,34.409,/lsy3aEsEfYIHdLRk4dontZ4s85h.jpg,"A true story of faith, devotion and undying love.","Drama, Family","Scion Films, Stage 6 Films, Inferno Distribution, Hachiko, Grand Army Entertainment, Opperman Viner Chrystyn Entertainment","United Kingdom, United States of America","English, Japanese","friendship, loyalty, pet, human animal relationship, family relationships, friends, dog, newspaper reporter, family dog, waiting, pets"
1091,The Thing,8.045,6232,Released,1982-06-25,19629760,109,False,/gl8jhRWV8k7yDEJLp51qtrV9FM0.jpg,15000000,http://www.theofficialjohncarpenter.com/the-thing/,tt0084787,en,The Thing,"A team of American scientists investigate the empty, destroyed base of their Norwegian counterparts in Antarctica, only to discover a terrifying life force that can take the form of its prey.",57.921,/tzGY49kseSE9QAKk47uuDGwnSCu.jpg,Man is The Warmest Place to Hide.,"Horror, Mystery, Science Fiction","Universal Pictures, Turman-Foster Company, Province of BC, Ministry of Tourism, Film Promotion Office","Canada, United States of America","English, Norwegian","spacecraft, space marine, based on novel or book, isolation, mutation, paranoia, snowstorm, research station, alien life-form, alien, remake, creature, helicopter pilot, antarctica, shape shifting alien, alien infection, sled dogs, alien monster, alien parasites, isolated place, uncertainty, body horror, ambiguity"
